Epoch,Loss
0,9.138114025712318E-4
1,8.203516773484195E-4
2,7.711900243362172E-4
3,7.467113310756398E-4
4,7.29311928672982E-4
5,7.170994722187433E-4
6,7.107367398755377E-4
7,6.994644096429771E-4
8,6.967690199631638E-4
9,6.854538702554612E-4
10,6.839358614400846E-4
11,6.767639630187706E-4
12,6.72721728957882E-4
13,6.75899883667866E-4
14,6.671751606745813E-4
15,6.632130212434705E-4
16,6.611431427007341E-4
17,6.581736109422097E-4
18,6.572759783955225E-4
19,6.576629196015068E-4
20,6.5208153749098E-4
21,6.508121431507935E-4
22,6.497718017995436E-4
23,6.473066548877735E-4
24,6.463343801869852E-4
25,6.477958208137878E-4
26,6.447092865814764E-4
27,6.427366897412454E-4
28,6.421275019954448E-4
29,6.404126294538987E-4
30,6.40685767166356E-4
31,6.392250017136528E-4
32,6.43926800280367E-4
33,6.391112638603677E-4
34,6.362471127418356E-4
35,6.355044727545888E-4
36,6.350294842759487E-4
37,6.345012447707232E-4
38,6.336193220934183E-4
39,6.542504812594021E-4
40,6.322916478769132E-4
41,6.314319781345006E-4
42,6.310272949424249E-4
43,6.31807207180021E-4
44,6.304709289216155E-4
45,6.298253405603565E-4
46,6.295252541397359E-4
47,6.306118563998557E-4
48,6.304993638019456E-4
49,6.31437141725915E-4
